url,timestamp_of_change
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/15_james_buchanan.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos,20170207223136
https://www.whitehouse.gov/videos/2017/February/20170201_POTUS_Swearing_In_Tillerson_HD.mp4,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions?term_node_tid_depth=46&page=2,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/docs/m-17-16.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/briefing-room/presidential-actions/related-omb-material/saphjr57h_20170207.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/statement-national-security-advisor,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/02/readout-presidents-meeting-king-abdullah-ii-jordan,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/43_george_w_bush.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/02/interim-guidance-implementing-section-2-executive-order-january-30-2017,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/40_ronald_reagan.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/34_dwight_d_eisenhower%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2011/09/26/president-obamas-town-hall-linkedin-we-are-thing-together,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos?topic=All&year[value]=&page=1,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2011/03/07/social-security-101-it-s-there-you,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/24_grover_cleveland.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/ceremony-elainechao1.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos?topic=All&year[value]&page=1,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/1600/first-ladies,20170207231127
https://www.whitehouse.gov/briefing-room/statements-and-releases?term_node_tid_depth=41&page=3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/videos/2017/February/20170203_Weekly_Address.mp3,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/privacy,20170207232507
https://www.whitehouse.gov/sites/whitehouse.gov/files/briefing-room/presidential-actions/related-omb-material/saphjr44h_20170207.pdf,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__UTVyArRWF8EQN1GKM_uglnQswQq6kjJ7nPE9z73RZ5U__7JOCt5zNcG-L2hABtxzpgl141CcVUrBH39Nq5wZrBQ4__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/04/president-trumps-second-week-action,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/38_gerald_ford.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/02/01/press-briefing-press-secretary-sean-spicer-212017-6,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/joiningforces,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/disclosures,20170207224149
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/20170207_ADM_nominees_web_devos.png,20170208031616
https://www.whitehouse.gov/the-press-office/2017/02/04/getting-americans-back-work,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_css/css__lzZ2zjbzK4q0Pnw0-usHcHJ_xS0x7ZJqNR0Ke4LTsLw__764MmGUseC9rOb9D6QTWVI0VJcoAmPnWE5DRLKUQhdk__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.css,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/advagg_js/js__brd6ghaeXA7OouzB9gxttssNfs_in4uyKLhYb1T92Q4__jnZ5AdEwwalZzheuDaBlQNVq5uYqq-pCfOPe4-AbpaE__yN1o6etD_FB5RFrt4f9rEo5hyCEX7z1qfNw5Yg899Cg.js,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/19_rutherford_b_hayes.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions/related-omb-material?term_node_tid_depth=25611,unable to retrieve data from Wayback Machine
https://obamawhitehouse.archives.gov/blog/2011/04/18/president-obama-invites-you-his-facebook-town-hall,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/31/bipartisan-praise-impossible-oppose-judge-neil-gorsuch,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/02/03/weekly-address,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/featured-videos/video/2017/01/27/swearing-sec-defense-general-mattis,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/31_herbert_hoover.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/the-press-office/2017/01/31/doing-what-he-said-he-would-president-trumps-transparent-principled-and,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/briefing-room/presidential-actions/related-omb-material/budgetary-impact-analysis,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/16_abraham_lincoln%5B1%5D.jpg,unable to retrieve data from Wayback Machine
https://www.whitehouse.gov/administration/president-trump,20170207224428
